Paper,BibT,From,Facility,Resolution,Solar Abundance,Original Order,Bib
Caffau 2018,2018A&A...614A..68C,SAGA,FOcal Reducer and low dispersion Spectrograph for VLT in ESO,5000,"Caffau et al. (2011, Sol. Phys., 268, 255)",418,2018AAP...614A..68C
Spite 2018,2018A&A...617A..56S,Alex Ji,X-Shooter spectrograph on VLT in ESO,12600,"Lodders et al. (2009, Landolt-Boernstein, New Series; 4B, 44) / Caffau et al. (2011, Sol. Phys., 268, 255)",415,2018A&A...617A..56S
Spite 2018,2018A&A...617A..56S,SAGA,X-Shooter spectrograph on VLT in ESO,12600,"Lodders et al. (2009, Landolt-Boernstein, New Series; 4B, 44) / Caffau et al. (2011, Sol. Phys., 268, 255)",419,2018AAP...617A..56S
Francois 2018,2018A&A...619A..10F,SAGA,X-Shooter spectrograph on VLT in ESO,7410,"Caffau et al. (2011, Sol. Phys., 268, 255) / Lodders et al. (2009, Landolt-Boernstein, New Series; 4B, 44)",420,2018AAP...619A..10F
Nagasawa 2018,2018ApJ...852...99N,SAGA,Fibre Large Array Multi Element Spectrograph (FLAMES) and UVES on VLT in ESO,47000,"Asplund et al. (2009, ARA&A, 47, 481)",421,2018ApJ...852...99N
Aguado 2018,2018ApJ...852L..20A,SAGA,Optical System for Imaging and low-Intermediate-Resolution Integrated Spectroscopy (OSIRIS) on Gran Telescopio CANARIAS (GTC 10.4m),2500,self,422,2018ApJ...852L..20A
Li 2018,2018ApJ...852L..31L,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",60000,"Asplund et al. (2009, ARA&A, 47, 481)",423,2018ApJ...852L..31L
Sakari 2018,2018ApJ...854L..20S,SAGA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),83000,"unregistered / Asplund et al. (2009, ARA&A, 47, 481)",424,2018ApJ...854L..20S
Aguado 2018,2018ApJ...854L..34A,SAGA,"Intermediate dispersion Spectrograph and Imaging System (ISIS) on William Herschel Telescope (WHT,4.2m)",2400,"Asplund et al. (2004, A&A, 417, 751)",425,2018ApJ...854L..34A
Hansen 2018,2018ApJ...855...83H,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",high,"Asplund et al. (2009, ARA&A, 47, 481)",426,2018ApJ...855...83H
Ji 2018,2018ApJ...856..138J,SAGA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),35000,"Asplund et al. (2009, ARA&A, 47, 481)",427,2018ApJ...856..138J
Chiti 2018,2018ApJ...856..142C,SAGA,MagE (Magellan Echellette) spectrograph of the Magellan Baade telescope at Las Campanas Observatory (Baade/MagE 6.5m),6000,"Asplund et al. (2009, ARA&A, 47, 481)",428,2018ApJ...856..142C
Chiti 2018,2018ApJ...857...74C,SAGA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),28000,"Asplund et al. (2009, ARA&A, 47, 481)",429,2018ApJ...857...74C
Hansen 2018,2018ApJ...858...92H,SAGA,"Echelle spectrograph on the du Pont telescope at Las Campanas Observatory (du Pont, 2.5m)",25000,"Asplund et al. (2009, ARA&A, 47, 481)",430,2018ApJ...858...92H
Bandyopadhyay 2018,2018ApJ...859..114B,SAGA,Hanle Faint Object Spectrograph Camera (HFOSC) on the 2m Himalayan Chandra Telescope (HCT 2m),30000,"Scott et al. (2015, A&A, 573, A25) / Grevesse et al. (2015, A&A, 573, A27) / Asplund et al. (2009, ARA&A, 47, 481) / Scott et al. (2015, A&A, 573, A26)",431,2018ApJ...859..114B
Holmbeck 2018,2018ApJ...859L..24H,SAGA,Robert G. Tull Coude Spectrograph on 2.7m H.J.Smith Telescope in McDonald Obs.,60000,"Grevesse et al. (2015, A&A, 573, A27)",432,2018ApJ...859L..24H
Roederer 2018,2018ApJ...860..125R,SAGA,"HIRES on Keck I (HIRES, 10m)",49000,"Asplund et al. (2009, ARA&A, 47, 481)",433,2018ApJ...860..125R
Gull 2018,2018ApJ...862..174G,SAGA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),35000,"Asplund et al. (2009, ARA&A, 47, 481)",434,2018ApJ...862..174G
Cain 2018,2018ApJ...864...43C,SAGA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),35000,"Asplund et al. (2009, ARA&A, 47, 481)",435,2018ApJ...864...43C
Roederer 2018,2018ApJ...865..129R,SAGA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),68000,"Asplund et al. (2009, ARA&A, 47, 481)",436,2018ApJ...865..129R
Sakari 2018,2018ApJ...868..110S,SAGA,Apache Point Observatory (APO) 3.5 m Telescope (3.5m),31500,"Asplund et al. (2009, ARA&A, 47, 481)",437,2018ApJ...868..110S
Duggan 2018,2018ApJ...869...50D,SAGA,DEep Imaging Multi-Object Spectrograph (DEIMOS) on Keck II,2250,"Anders and Grevesse (1989, GeCoA, 53, 197) / unregistered",438,2018ApJ...869...50D
Starkenburg 2018,2018MNRAS.481.3838S,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",30000,"Lodders et al. (2009, Landolt-Boernstein, New Series; 4B, 44) / Caffau et al. (2011, Sol. Phys., 268, 255)",439,2018MNRAS.481.3838S
Aoki 2018,2018PASJ...70...94A,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",60000,"Asplund et al. (2009, ARA&A, 47, 481)",440,2018PASJ...70...94A
Skuladottir 2019,2019A&A...631A.171S,Manual Compilation,Fibre Large Array Multi Element Spectrograph (FLAMES) and GIRAFFE on VLT in ESO,20000,"Grevesse & Sauval (1998, SSRv, 85, 161)",441,2019A&A...631A.171S
Arentsen 2019,2019A&A...621A.108A,SAGA,Gecko echelle spectrograph on Canada-France-Hawaii Telescope (CFHT),68000,"Asplund et al. (2009, ARA&A, 47, 481)",442,2019AAP...621A.108A
Amarsi 2019,2019A&A...622L...4A,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",60000,"Asplund et al. (2009, ARA&A, 47, 481)",443,2019AAP...622L...4A
Fernández-Trincado 2019,2019A&A...631A..97F,SAGA,Apache Point Observatory Galactic Evolution Experiment (APOGEE) with Sloan Foundation 2.5m Telescope at APO (2.5m),22500,"Asplund et al. (2005, ASPC, 336, 25) / Grevesse et al. (2015, A&A, 573, A27)",444,2019AAP...631A..97F
Ji 2019,2019ApJ...870...83J,SAGA,Gemini Remote Access to CFHT Echelle SpectroPolarimetric Device for the Observation of Stars (ESPaDOnS) Spectrograph (GRACES),40000,"Asplund et al. (2009, ARA&A, 47, 481)",445,2019ApJ...870...83J
Placco 2019,2019ApJ...870..122P,SAGA,"ESO Faint Object Spectrograph and Camera v.2 (EFOSC-2) at New Technology Telescope (NTT, 3.58m)",1200,"Asplund et al. (2009, ARA&A, 47, 481)",446,2019ApJ...870..122P
Sakari 2019,2019ApJ...874..148S,SAGA,Apache Point Observatory (APO) 3.5 m Telescope (3.5m),31500,"Asplund et al. (2009, ARA&A, 47, 481)",447,2019ApJ...874..148S
Mardini 2019,2019ApJ...875...89M,SAGA,Automated Planet Finder (APF) at the Lick Observatory (2.4m),110000,"Asplund et al. (2009, ARA&A, 47, 481)",448,2019ApJ...875...89M
Ezzeddine 2019,2019ApJ...876...97E,SAGA,Cosmic Origins Spectrograph on HST,high,"Asplund et al. (2009, ARA&A, 47, 481)",449,2019ApJ...876...97E
Mardini 2019,2019ApJ...882...27M,SAGA,Automated Planet Finder (APF) at the Lick Observatory (2.4m),110000,"Asplund et al. (2009, ARA&A, 47, 481)",450,2019ApJ...882...27M
Marshall 2019,2019ApJ...882..177M,Alex Ji,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),41000,"Asplund et al. (2009, ARA&A, 47, 481)",451,2019ApJ...882..177M
Fernandez-Trincado 2019,2019ApJ...886L...8F,SAGA,Apache Point Observatory (APO) 3.5 m Telescope (3.5m),22500,"Asplund et al. (2005, ASPC, 336, 25)",452,2019ApJ...886L...8F
Mishenina 2019,2019MNRAS.484.3846M,SAGA,ELODIE spectrograph on the Haute Provence Observatoir (1.93m),42000,self,453,2019MNRAS.484.3846M
Purandardas 2019,2019MNRAS.486.3266P,SAGA,Cassegrain spectrograph at the 2.3m Vainu Bappu Telescope at Kavalur,72000,"Asplund et al. (2009, ARA&A, 47, 481)",454,2019MNRAS.486.3266P
Pereira 2019,2019MNRAS.488..482P,SAGA,FEROS on La Silla 2.2 m Max-Planck Telescope at ESO (2.2m),48000,"Grevesse & Sauval (1998, SSRv, 85, 161)",455,2019MNRAS.488..482P
Venn 2019,2019MNRAS.492.3241V,SAGA,Echelle SpectroPolarimetric Device for the Observation of Stars (ESPaDOnS) at CFHT,68000,"Asplund et al. (2009, ARA&A, 47, 481)",456,2019MNRAS.492.3241V
Xing 2019,2019NatAs...3..631X,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",45000,"Asplund et al. (2009, ARA&A, 47, 481)",457,2019NatAs...3..631X
Reichert 2020,2020A&A...641A.127R,Manual Compilation,"Fibre Large Array Multi Element Spectrograph (FLAMES) and GIRAFFE on VLT in ESO, UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m), X-Shooter spectrograph on VLT in ESO",15000,"Asplund et al. (2009, ARA&A, 47, 481)",458,2020A&A...641A.127R
Theler 2020,2020A&A...642A.176T,Manual Compilation,Fibre Large Array Multi Element Spectrograph (FLAMES) and GIRAFFE on VLT in ESO,20000,"Grevesse & Sauval (1998, SSRv, 85, 161)",459,2020A&A...642A.176T
Ji 2020,2020ApJ...889...27J,Alex Ji,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),30000,"Asplund et al. (2009, ARA&A, 47, 481)",460,2020ApJ...889...27J
de los Reyes 2020,2020ApJ...891...85D,Manual Compilation,DEep Imaging Multi-Object Spectrograph (DEIMOS) on Keck II,4500,"Asplund et al. (2009, ARA&A, 47, 481)",461,2020ApJ...891...85R
Hansen 2020,2020ApJ...897..183H,Alex Ji,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),41000,"Asplund et al. (2009, ARA&A, 47, 481)",462,2020ApJ...897..183H
Lombardo 2022,2022A&A...665A..10L,Manual Compilation,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",49800,"Caffau et al. (2011, Sol. Phys., 268, 255) / Lodders et al. (2009, Landolt-Boernstein, New Series; 4B, 44)",463,2022A&A...665A..10L
Li 2022,2022ApJ...931..147L,Manual Compilation,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",36000,"Asplund et al. (2009, ARA&A, 47, 481)",464,2022ApJ...931..147L
Chiti 2022,2022ApJ...939...41C,Alex Ji,IMACS spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),11000,Self,465,2022ApJ...939...41C
Waller 2022,2023MNRAS.519.1349W,Alex Ji,Gemini Remote Access to CFHT Echelle SpectroPolarimetric Device for the Observation of Stars (ESPaDOnS) Spectrograph (GRACES),65000,"Asplund et al. (2009, ARA&A, 47, 481)",466,2023MNRAS.519.1349W
Nissen 2024,2024A&A...682A.116N,Manual Compilation,nan,high,"Asplund et al. (2021, A&A, 653, A141)",467,2024A&A...682A.116N
