Paper,BibT,From,Facility,Resolution,Solar Abundance,Original Order,Bib
Christlieb 2004,2004A&A...428.1027C,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",20000,"Burris et al. ( 2000, ApJ, 544, 302)",89,2004AAP...428.1027C
Bonifacio 2004,2004A&A...414..503B,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",43000,unregistered,82,2004AAP...414..503B
Akerman 2004,2004A&A...414..931A,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",60000,"Allende Prieto et al. (2002, ApJ, 573, L137) / unregistered",83,2004AAP...414..931A
Ryde 2004,2004A&A...415..559R,SAGA,2d-coude on 2.7m H.J.Smith Telescope in McDonald Obs.,60000,unregistered,84,2004AAP...415..559R
Nissen 2004,2004A&A...415..993N,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",60000,unregistered,85,2004AAP...415..993N
Bihain 2004,2004A&A...423..777B,SAGA,CAssegrain echelle SPECtrograph (CASPEC) at ESO (3.6m),50000,"Anders and Grevesse (1989, GeCoA, 53, 197)",87,2004AAP...423..777B
Bai 2004,2004A&A...425..671B,SAGA,Prime-Focus Ehelle Spectrometer (PFES) at Special Astrophysical Observatory (6m),15000,"Grevesse & Sauval (1998, SSRv, 85, 161)",88,2004AAP...425..671B
Plez 2004,2004A&A...428L...9P,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",80000,"Anders and Grevesse (1989, GeCoA, 53, 197)",90,2004AAP...428L...9P
Pont 2004,2004AJ....127..840P,SAGA,FORS1 on Yepun (VLT-UT4) 8.2m telescope at the ESO ,1530,self,91,2004AJ....127..840P
Venn 2004,2004AJ....128.1177V,SAGA,literature,high,"Arlandini et al. (1999, ApJ, 525, 886)",92,2004AJ....128.1177V
Lai 2004,2004AJ....128.2402L,SAGA,Echelle Spectrograph and Imager (ESI) on Keck II,7000,self,93,2004AJ....128.2402L
Ishimaru 2004,2004ApJ...600L..47I,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",50000,"Arlandini et al. (1999, ApJ, 525, 886)",94,2004ApJ...600L..47I
Christlieb 2004,2004ApJ...603..708C,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",40000,unregistered,95,2004ApJ...603..708C
Johnson 2004,2004ApJ...605..462J,SAGA,"HIRES on Keck I (HIRES, 10m)",45000,"Grevesse et al. (1996, ASPC, 99, 117)",96,2004ApJ...605..462J
Johnson 2004,2004ApJ...605..462J,SAGA,"HIRES on Keck I (HIRES, 10m)",45000,"Grevesse et al. (1996, ASPC, 99, 117)",468,447Jon.P+..Ap..612P
Honda 2004,2004ApJ...607..474H,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",90000,"Grevesse et al. (1996, ASPC, 99, 117)",97,2004ApJ...607..474H
Aoki 2004,2004ApJ...608..971A,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",50000,"Grevesse et al. (1996, ASPC, 99, 117)",98,2004ApJ...608..971A
Fulbright 2004,2004ApJ...612..447F,JINA,"HIRES on Keck I (HIRES, 10m)",45000,"Moore ( 1966, sst, book, M)",99,2004ApJ...612..447F
Cohen 2004,2004ApJ...612.1107C,SAGA,"HIRES on Keck I (HIRES, 10m)",34000,"unregistered / Anders and Grevesse (1989, GeCoA, 53, 197)",100,2004ApJ...612.1107C
Bessell 2004,2004ApJ...612L..61B,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",40000,"Asplund et al. (2000, A&A, 359, 743) / Asplund et al. (2004, A&A, 417, 751)",101,2004ApJ...612L..61B
Simmerer 2004,2004ApJ...617.1091S,SAGA,2d-coude on 2.7m H.J.Smith Telescope in McDonald Obs.,60000,unregistered,102,2004ApJ...617.1091S
Honda 2004,2004ApJS..152..113H,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",90000,self,103,2004ApJS..152..113H
Sadakane 2004,2004PASJ...56.1041S,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",45000,"Grevesse & Sauval (1998, SSRv, 85, 161)",104,2004PASJ...56.1041S
Barbuy 2005,2005A&A...429.1031B,JINA,High Accuracy Radial velocity Planet Searcher (HARPS) spectrogrpah at ESO (3.6m),100000,"Grevesse & Sauval (1998, SSRv, 85, 161)",105,2005A&A...429.1031B
Barbuy 2005,2005A&A...429.1031B,SAGA,High Accuracy Radial velocity Planet Searcher (HARPS) spectrogrpah at ESO (3.6m),100000,"Grevesse & Sauval (1998, SSRv, 85, 161)",108,2005AAP...429.1031B
Barklem 2005,2005A&A...439..129B,JINA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",20000,"Grevesse & Sauval (1998, SSRv, 85, 161)",106,2005A&A...439..129B
Jonsell 2005,2005A&A...440..321J,JINA,Coude Echelle Spectrometer (CES) of Coude Auxiliary Telescope (CAT) at ESO (1.4m),60000,"Grevesse & Sauval (1998, SSRv, 85, 161) / Asplund et al. (2004, A&A, 417, 751)",107,2005A&A...440..321J
Jonsell 2005,2005A&A...440..321J,SAGA,Coude Echelle Spectrometer (CES) of Coude Auxiliary Telescope (CAT) at ESO (1.4m),60000,"Grevesse & Sauval (1998, SSRv, 85, 161) / Asplund et al. (2004, A&A, 417, 751)",114,2005AAP...440..321J
Arnone 2005,2005A&A...430..507A,SAGA,UCLES on Anglo-Australian 3.9m Telescope,40000,"Moore ( 1966, sst, book, M)",109,2005AAP...430..507A
Spite 2005,2005A&A...430..655S,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",47000,"Grevesse & Sauval (1998, SSRv, 85, 161) / unregistered",110,2005AAP...430..655S
Bensby 2005,2005A&A...433..185B,SAGA,"Fibre-fed Extended Range echelle Spectrograph (FEROS), at ESO (1.52m)",48000,"Grevesse & Sauval (1998, SSRv, 85, 161)",111,2005AAP...433..185B
Plez 2005,2005A&A...434.1117P,SAGA,"HIRES on Keck I (HIRES, 10m)",34000,"Grevesse & Sauval (1998, SSRv, 85, 161) / Allende Prieto et al. (2002, ApJ, 573, L137) / Asplund (2003, ASPC, 304, 275) / Asplund et al. (2000, A&A, 359, 743)",112,2005AAP...434.1117P
Barklem 2005,2005A&A...439..129B,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",20000,"Grevesse & Sauval (1998, SSRv, 85, 161) / Allende Prieto et al. (2002, ApJ, 573, L137)",113,2005AAP...439..129B
Monaco 2005,2005A&A...441..141M,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",43000,unregistered,115,2005AAP...441..141M
Caffau 2005,2005A&A...441..533C,SAGA,"ESO Multi-Mode Instrument (EMMI) at New Technology Telescope (NTT, 3.58m)",60000,self,116,2005AAP...441..533C
Charbonnel 2005,2005A&A...442..961C,SAGA,literature,high,self,117,2005AAP...442..961C
Geisler 2005,2005AJ....129.1428G,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",22000,unregistered,118,2005AJ....129.1428G
Cowan 2005,2005ApJ...627..238C,SAGA,"HIRES on Keck I (HIRES, 10m)",45000,"Lodders (2003, ApJ, 591, 1220)",119,2005ApJ...627..238C
Ivans 2005,2005ApJ...627L.145I,SAGA,"HIRES on Keck I (HIRES, 10m)",40000,self,120,2005ApJ...627L.145I
Aoki 2005,2005ApJ...632..611A,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",50000,self,121,2005ApJ...632..611A
Boesgaard 2005,2005ApJ...633..398B,SAGA,"HIRES on Keck I (HIRES, 10m)",48000,unregistered,122,2005ApJ...633..398B
Boesgaard 2005,2005ApJ...633L.125B,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",50000,unregistered,123,2005ApJ...633L.125B
Takeda 2005,2005PASJ...57...45T,SAGA,"HIDES at the Okayama Astrophysical Observatory (OAO) (OAO, 1.88m)",70000,unregistered,124,2005PASJ...57...45T
Takeda 2005,2005PASJ...57...65T,SAGA,"HIDES at the Okayama Astrophysical Observatory (OAO) (OAO, 1.88m)",70000,unregistered,125,2005PASJ...57...65T
Jonsell 2006,2006A&A...451..651J,JINA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",30000,"Anders and Grevesse (1989, GeCoA, 53, 197)",126,2006A&A...451..651J
Jonsell 2006,2006A&A...451..651J,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",30000,"Anders and Grevesse (1989, GeCoA, 53, 197)",131,2006AAP...451..651J
Masseron 2006,2006A&A...455.1059M,JINA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",high,"Asplund et al. (2005, ASPC, 336, 25)",127,2006A&A...455.1059M
Masseron 2006,2006A&A...455.1059M,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",high,"Asplund et al. (2005, ASPC, 336, 25)",134,2006AAP...455.1059M
Sivarani 2006,2006A&A...459..125S,JINA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",43000,"Asplund et al. (2005, ASPC, 336, 25)",128,2006A&A...459..125S
Sivarani 2006,2006A&A...459..125S,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",43000,"Asplund et al. (2005, ASPC, 336, 25)",135,2006AAP...459..125S
GarciaPerez 2006,2006A&A...447..299G,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",55000,"Grevesse & Sauval (1998, SSRv, 85, 161)",129,2006AAP...447..299G
GarciaPerez 2006,2006A&A...451..621G,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",55000,"Grevesse & Sauval (1998, SSRv, 85, 161) / unregistered",130,2006AAP...451..621G
Gehren 2006,2006A&A...451.1065G,SAGA,FOCES on Calar Alto Observatory (2.2m),40000,unregistered,132,2006AAP...451.1065G
Spite 2006,2006A&A...455..291S,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",47000,"Grevesse & Sauval (1998, SSRv, 85, 161) / unregistered",133,2006AAP...455..291S
Battaglia 2006,2006A&A...459..423B,SAGA,Fibre Large Array Multi Element Spectrograph (FLAMES) and GIRAFFE on VLT in ESO,6500,self,136,2006AAP...459..423B
Koch 2006,2006AJ....131..895K,SAGA,Fibre Large Array Multi Element Spectrograph (FLAMES) and GIRAFFE on VLT in ESO,6500,unregistered,137,2006AJ....131..895K
Preston 2006,2006AJ....132...85P,SAGA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),40000,"unregistered / Lawler et al. (2001, ApJ, 563, 1075) / Lawler et al. (2001, ApJ, 556, 452)",138,2006AJ....132...85P
Cohen 2006,2006AJ....132..137C,SAGA,"HIRES on Keck I (HIRES, 10m)",45000,unregistered,139,2006AJ....132..137C
Preston 2006,2006AJ....132.1714P,JINA,"MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m), Echelle Spectrograph and Imager (ESI) on Keck II ",25000,self,140,2006AJ....132.1714P
Frebel 2006,2006ApJ...638L..17F,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",70000,"Asplund et al. (2005, ASPC, 336, 25)",141,2006ApJ...638L..17F
Aoki 2006,2006ApJ...639..897A,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",60000,"Asplund et al. (2005, ASPC, 336, 25) / Asplund et al. (2005, A&A, 431, 693), log-e(C)",142,2006ApJ...639..897A
Besgaard 2006,2006ApJ...641.1122B,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",50000,unregistered,143,2006ApJ...641.1122B
Melendez 2006,2006ApJ...642.1082M,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",60000,unregistered,144,2006ApJ...642.1082M
Honda 2006,2006ApJ...643.1180H,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",90000,"Asplund et al. (2005, ASPC, 336, 25)",145,2006ApJ...643.1180H
Asplund 2006,2006ApJ...644..229A,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",120000,unregistered,146,2006ApJ...644..229A
Collet 2006,2006ApJ...644L.121C,JINA,simulation,nan,self,147,2006ApJ...644L.121C
